,Quarter,Tm,Detail,GNB,WAS
0,2.0,Packers,Chester Marcol 17 yard field goal,3,0
1,2.0,Redskins,Roy Jefferson 32 yard pass from Billy Kilmer (Curt Knight kick),3,7
2,2.0,Redskins,Curt Knight 42 yard field goal,3,10
3,4.0,Redskins,Curt Knight 35 yard field goal,3,13
4,4.0,Redskins,Curt Knight 46 yard field goal,3,16
