,Quarter,Time,Tm,Detail,SFO,NYG
0,1.0,7:52,Giants,Brandon Jacobs 26 yard rush (John Carney kick),0,7
1,1.0,4:23,49ers,Joe Nedney 40 yard field goal,3,7
2,2.0,14:55,Giants,Brandon Jacobs 2 yard rush (John Carney kick),3,14
3,2.0,11:25,49ers,Josh Morgan 30 yard pass from J.T. O'Sullivan (Joe Nedney kick),10,14
4,2.0,1:52,Giants,John Carney 21 yard field goal,10,17
5,3.0,9:01,Giants,Plaxico Burress 6 yard pass from Eli Manning (John Carney kick),10,24
6,3.0,1:50,49ers,Nate Clements 74 yard blocked field goal return (Joe Nedney kick),17,24
7,4.0,12:17,Giants,John Carney 48 yard field goal,17,27
8,4.0,4:57,Giants,"Safety, J.T. OSullivan fumble forced by Justin Tuck out of bounds in the end zone.",17,29
