,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,5:36,Colts,Mike Vanderjagt 25 yard field goal,0,3
1,1.0,2:39,Dolphins,Travis Minor 56 yard rush (Olindo Mare kick),7,3
2,2.0,13:30,Colts,Marvin Harrison 8 yard pass from Peyton Manning (Mike Vanderjagt kick),7,10
3,2.0,11:56,Dolphins,Chris Chambers 74 yard pass from Jay Fiedler (Olindo Mare kick),14,10
4,2.0,0:21,Dolphins,Olindo Mare 31 yard field goal,17,10
5,3.0,12:57,Colts,Marvin Harrison 11 yard pass from Peyton Manning (Mike Vanderjagt kick),17,17
6,3.0,8:06,Colts,Marvin Harrison 40 yard pass from Peyton Manning (Mike Vanderjagt kick),17,24
7,4.0,13:35,Dolphins,Olindo Mare 31 yard field goal,20,24
8,4.0,7:44,Dolphins,Chris Chambers 29 yard pass from Jay Fiedler (Olindo Mare kick),27,24
