,Quarter,Time,Tm,Detail,DEN,SFO
0,1.0,,Broncos,Terrell Davis 4 yard rush (Jason Elam kick),7,0
1,1.0,,Broncos,Jason Elam 49 yard field goal,10,0
2,2.0,,49ers,Jerry Rice 14 yard pass from Steve Young (Gary Anderson kick),10,7
3,2.0,,49ers,Terry Kirby 1 yard rush (Gary Anderson kick),10,14
4,3.0,,Broncos,Vaughn Hebron 1 yard rush (Jason Elam kick),17,14
5,3.0,,49ers,Gary Anderson 32 yard field goal,17,17
6,3.0,,49ers,Merton Hanks 55 yard interception return (Gary Anderson kick),17,24
7,4.0,,49ers,Gary Anderson 20 yard field goal,17,27
8,4.0,10:47,49ers,Kevin Greene 40 yard defensive fumble return (Gary Anderson kick),17,34
