,Quarter,Time,Tm,Detail,ATL,CAR
0,1.0,2:41,Panthers,John Kasay 30 yard field goal,0,3
1,2.0,9:42,Panthers,John Kasay 24 yard field goal,0,6
2,2.0,4:13,Falcons,Ken Oxendine 5 yard pass from Chris Chandler (Morten Andersen kick),7,6
3,2.0,2:48,Panthers,Donald Hayes 56 yard pass from Steve Beuerlein (John Kasay kick),7,13
4,2.0,0:56,Falcons,Bob Christian 12 yard pass from Chris Chandler (Morten Andersen kick),14,13
5,2.0,0:04,Panthers,Patrick Jeffers 1 yard pass from Steve Beuerlein (John Kasay kick),14,20
6,3.0,4:56,Panthers,Tim Biakabutuka 11 yard rush (John Kasay kick),14,27
7,4.0,12:47,Panthers,Wesley Walls 11 yard pass from Steve Beuerlein (John Kasay kick),14,34
8,4.0,8:34,Falcons,Brian Kozlowski 15 yard pass from Chris Chandler (Morten Andersen kick),21,34
9,4.0,3:12,Falcons,Terance Mathis 18 yard pass from Chris Chandler (Morten Andersen kick),28,34
