,Quarter,Tm,Detail,PIT,BOS
0,1.0,Redskins,Charley Malone unknown yard pass from Steve Hokuf,0,6
1,1.0,Redskins,Cliff Battles unknown yard rush (Ted Wright kick),0,13
2,2.0,Redskins,Cliff Battles 19 yard rush,0,19
3,3.0,Redskins,Ted Wright 59 yard rush (Ted Wright kick),0,26
4,3.0,Redskins,Ernie Pinckert unknown yard rush,0,32
5,3.0,Redskins,Hal McPhail 14 yard fumble return (Hal McPhail kick),0,39
