,Quarter,Tm,Detail,NOR,NYG
0,1.0,Giants,Ernie Koy 1 yard rush (Les Murdock kick),0,7
1,1.0,Saints,Danny Abramowicz 13 yard pass from Gary Cuozzo (Charlie Durkee kick),7,7
2,2.0,Saints,Gary Cuozzo 1 yard rush (Charlie Durkee kick),14,7
3,2.0,Giants,Tucker Frederickson 2 yard rush (Les Murdock kick),14,14
4,3.0,Giants,Homer Jones 34 yard pass from Fran Tarkenton,14,20
5,3.0,Saints,John Gilliam 19 yard pass from Gary Cuozzo (Charlie Durkee kick),21,20
6,4.0,Giants,Bobby Crespino 11 yard pass from Fran Tarkenton (Wendell Harris kick),21,27
