,Quarter,Time,Tm,Detail,PHI,NOR
0,1.0,9:24,Saints,John Carney 33 yard field goal,0,3
1,2.0,14:46,Saints,John Carney 23 yard field goal,0,6
2,2.0,13:38,Eagles,Donte' Stallworth 75 yard pass from Jeff Garcia (David Akers kick),7,6
3,2.0,5:19,Saints,Reggie Bush 4 yard rush (John Carney kick),7,13
4,2.0,0:50,Eagles,Brian Westbrook 1 yard rush (David Akers kick),14,13
5,3.0,13:25,Eagles,Brian Westbrook 62 yard rush (David Akers kick),21,13
6,3.0,9:36,Saints,Deuce McAllister 5 yard rush (John Carney kick),21,20
7,3.0,1:05,Saints,Deuce McAllister 11 yard pass from Drew Brees (John Carney kick),21,27
8,4.0,11:08,Eagles,David Akers 24 yard field goal,24,27
