,Quarter,Tm,Detail,GNB,SFO
0,1.0,Packers,Tom Moore 1 yard rush (Jerry Kramer kick),7,0
1,2.0,49ers,J.D. Smith 2 yard rush (Tommy Davis kick),7,7
2,2.0,Packers,Boyd Dowler 53 yard pass from Bart Starr (Jerry Kramer kick),14,7
3,2.0,49ers,J.D. Smith 52 yard rush (Tommy Davis kick),14,14
4,3.0,Packers,Boyd Dowler 50 yard pass from Bart Starr (Jerry Kramer kick),21,14
5,4.0,49ers,Tommy Davis 44 yard field goal,21,17
