,Quarter,Tm,Detail,MIL,CHI
0,1.0,Badgers,Johnny Heimsch 25 yard rush (Roger Ashmore kick),7,0
1,3.0,Bears,Dutch Sternaman unknown yard field goal,7,3
2,3.0,Bears,Dutch Sternaman unknown yard rush (Paddy Driscoll kick),7,10
