,Quarter,Tm,Detail,DET,SEA
0,1.0,Seahawks,Derrick Fenner 1 yard rush (Norm Johnson kick),0,7
1,2.0,Lions,Eddie Murray 24 yard field goal,3,7
2,2.0,Lions,Barry Sanders 16 yard rush (Eddie Murray kick),10,7
3,2.0,Seahawks,Norm Johnson 43 yard field goal,10,10
4,3.0,Seahawks,Eugene Robinson 16 yard defensive fumble return (Norm Johnson kick),10,17
5,3.0,Seahawks,Norm Johnson 25 yard field goal,10,20
6,4.0,Seahawks,Norm Johnson 37 yard field goal,10,23
7,4.0,Seahawks,Derrick Fenner 9 yard rush (Norm Johnson kick),10,30
