,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,2:16,Eagles,Michael Vick 4 yard rush (David Akers kick),0,7
1,2.0,9:10,Giants,Lawrence Tynes 24 yard field goal,3,7
2,2.0,5:37,Eagles,David Akers 38 yard field goal,3,10
3,2.0,3:11,Eagles,David Akers 24 yard field goal,3,13
4,3.0,6:38,Eagles,David Akers 28 yard field goal,3,16
5,3.0,0:27,Giants,Travis Beckum 2 yard pass from Eli Manning (Lawrence Tynes kick),10,16
6,4.0,13:35,Giants,Derek Hagan 5 yard pass from Eli Manning (Lawrence Tynes kick),17,16
7,4.0,4:25,Eagles,LeSean McCoy 50 yard rush (Jason Avant pass from Michael Vick),17,24
8,4.0,0:22,Eagles,David Akers 30 yard field goal,17,27
