,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,7:24,Cardinals,Neil Rackers 32 yard field goal,0,3
1,1.0,3:34,Cardinals,Neil Rackers 32 yard field goal,0,6
2,2.0,10:28,Cardinals,Karlos Dansby 11 yard interception return (Neil Rackers kick),0,13
3,2.0,6:38,Eagles,Mike McMahon 1 yard rush (David Akers kick),7,13
4,3.0,10:36,Cardinals,Larry Fitzgerald 25 yard pass from Josh McCown (Neil Rackers kick),7,20
5,4.0,11:25,Cardinals,Anquan Boldin 20 yard pass from Josh McCown (Neil Rackers kick),7,27
6,4.0,10:21,Eagles,Billy McMullen 21 yard pass from Mike McMahon (David Akers kick),14,27
7,4.0,0:26,Eagles,Mike McMahon 1 yard rush (David Akers kick),21,27
