,Quarter,Time,Tm,Detail,PIT,TEN
0,2.0,0:52,Titans,Al Del Greco 21 yard field goal,0,3
1,4.0,12:49,Titans,Al Del Greco 31 yard field goal,0,6
2,4.0,8:27,Steelers,Mark Bruener 30 yard pass from Kordell Stewart (Kris Brown kick),7,6
3,4.0,0:04,Titans,Al Del Greco 29 yard field goal,7,9
