,Quarter,Tm,Detail,GNB,FRN
0,1,Yellow Jackets,Tex Hamer 15 yard rush (Tex Hamer kick),0,7
1,2,Packers,Verne Lewellen 25 yard pass from Charlie Mathys (George Abramson kick),7,7
2,4,Yellow Jackets,George Sullivan 40 yard touchdown on a lateral,7,13
