,Quarter,Time,Tm,Detail,BAL,ARI
0,1.0,7:12,Ravens,Matt Stover 42 yard field goal,3,0
1,3.0,9:41,Cardinals,Frank Sanders 27 yard pass from Jake Plummer (Cary Blanchard kick),3,7
2,3.0,6:18,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),10,7
3,3.0,0:21,Ravens,Matt Stover 42 yard field goal,13,7
