,Quarter,Time,Tm,Detail,NOR,SDG
0,1.0,6:39,Chargers,John Carney 42 yard field goal,0,3
1,1.0,2:00,Saints,Joe Horn 6 yard pass from Jeff Blake (Doug Brien kick),7,3
2,2.0,14:20,Chargers,Robert Chancey 3 yard rush (John Carney kick),7,10
3,2.0,7:04,Chargers,Curtis Conway 20 yard pass from Ryan Leaf (John Carney kick),7,17
4,2.0,1:54,Saints,Doug Brien 20 yard field goal,10,17
5,2.0,1:37,Chargers,Ronney Jenkins 93 yard kickoff return (John Carney kick),10,24
6,2.0,0:00,Saints,Doug Brien 20 yard field goal,13,24
7,3.0,2:54,Saints,Ricky Williams 13 yard pass from Jeff Blake (pass failed),19,24
8,4.0,14:52,Saints,Doug Brien 31 yard field goal,22,24
9,4.0,5:08,Chargers,John Carney 49 yard field goal,22,27
10,4.0,0:47,Saints,Joe Horn 8 yard pass from Jeff Blake (pass failed),28,27
