,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Dolphins,Garo Yepremian 38 yard field goal,0,3
1,2.0,Jets,Pat Leahy 19 yard field goal,3,3
2,2.0,Dolphins,Garo Yepremian 46 yard field goal,3,6
3,3.0,Jets,Darnell Powell 3 yard rush (Pat Leahy kick),10,6
4,3.0,Jets,Kevin Long 1 yard rush (Pat Leahy kick),17,6
5,4.0,Jets,Wesley Walker 33 yard pass from Matt Robinson (Pat Leahy kick),24,6
6,4.0,Dolphins,Bruce Hardy 13 yard pass from Don Strock (Garo Yepremian kick),24,13
