,Quarter,Tm,Detail,OAK,MIA
0,1.0,Raiders,Todd Christensen 13 yard pass from Marc Wilson (Chris Bahr kick),7,0
1,2.0,Raiders,Bob Chandler 37 yard pass from Marc Wilson (Chris Bahr kick),14,0
2,2.0,Raiders,Derrick Ramsey 1 yard pass from Marc Wilson (Chris Bahr kick),21,0
3,2.0,Dolphins,Uwe von Schamann 36 yard field goal,21,3
4,3.0,Raiders,Chris Bahr 32 yard field goal,24,3
5,3.0,Dolphins,Eddie Hill 5 yard rush (Uwe von Schamann kick),24,10
6,4.0,Dolphins,Tony Nathan 14 yard pass from Don Strock (Uwe von Schamann kick),24,17
7,4.0,Raiders,"Safety, Robinson forced Strock out of end zone",26,17
8,4.0,Raiders,Chester Willis 15 yard rush (Chris Bahr kick),33,17
