,Quarter,Tm,Detail,BUF,NYJ
0,1.0,Jets,Brad Baxter 1 yard rush (Pat Leahy kick),0,7
1,1.0,Bills,Kenneth Davis 1 yard rush (Scott Norwood kick),7,7
2,2.0,Bills,Butch Rolle 2 yard pass from Jim Kelly (Scott Norwood kick),14,7
3,2.0,Bills,Scott Norwood 48 yard field goal,17,7
4,2.0,Bills,Scott Norwood 42 yard field goal,20,7
5,3.0,Bills,Scott Norwood 27 yard field goal,23,7
6,4.0,Bills,Keith McKeller 6 yard pass from Jim Kelly (Scott Norwood kick),30,7
