,Quarter,Tm,Detail,MIA,SFO
0,2.0,49ers,Tom Rathman 27 yard pass from Steve Young,0,6
1,2.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),0,13
2,3.0,Dolphins,Pete Stoyanovich 32 yard field goal,3,13
3,3.0,49ers,Amp Lee 1 yard rush (Mike Cofer kick),3,20
4,4.0,49ers,Jerry Rice 12 yard pass from Steve Young (Mike Cofer kick),3,27
