,Quarter,Tm,Detail,CIN,OAK
0,1.0,Bengals,John McDaniel 40 yard pass from Ken Anderson,6,0
1,1.0,Raiders,Dave Casper 24 yard pass from Ken Stabler (Errol Mann kick),6,7
2,1.0,Raiders,Dave Casper 3 yard pass from Ken Stabler (Errol Mann kick),6,14
3,2.0,Bengals,Stan Fritts 1 yard rush (Chris Bahr kick),13,14
4,2.0,Raiders,Pete Banaszak 1 yard rush (Errol Mann kick),13,21
5,3.0,Raiders,Cliff Branch 42 yard pass from Ken Stabler (Errol Mann kick),13,28
6,3.0,Bengals,Archie Griffin 21 yard rush (Chris Bahr kick),20,28
7,4.0,Raiders,Fred Biletnikoff 7 yard pass from Ken Stabler (Errol Mann kick),20,35
