,Quarter,Time,Tm,Detail,DET,ARI
0,2.0,12:51,Lions,Mikel Leshoure 1 yard rush (Jason Hanson kick),7,0
1,2.0,9:18,Cardinals,Beanie Wells 5 yard rush (Jay Feely kick),7,7
2,2.0,3:16,Cardinals,Beanie Wells 1 yard rush (Jay Feely kick),7,14
3,2.0,0:30,Cardinals,Rashad Johnson 53 yard interception return (Jay Feely kick),7,21
4,3.0,9:19,Cardinals,Jay Feely 51 yard field goal,7,24
5,3.0,4:11,Lions,Jason Hanson 41 yard field goal,10,24
6,4.0,5:07,Cardinals,Greg Toler 102 yard interception return (Jay Feely kick),10,31
7,4.0,3:39,Cardinals,Beanie Wells 31 yard rush (Jay Feely kick),10,38
