,Quarter,Tm,Detail,SFO,GNB
0,1.0,Packers,Max McGee 30 yard pass from Lamar McHan (Paul Hornung kick),0,7
1,1.0,49ers,Tommy Davis 28 yard field goal,3,7
2,2.0,Packers,Paul Hornung 8 yard rush (Paul Hornung kick),3,14
3,2.0,49ers,Tommy Davis 32 yard field goal,6,14
4,3.0,49ers,Billy Wilson 14 yard pass from Y.A. Tittle (Tommy Davis kick),13,14
5,3.0,49ers,R.C. Owens 75 yard pass from Y.A. Tittle (Tommy Davis kick),20,14
6,4.0,Packers,Gary Knafelc 21 yard pass from Lamar McHan (Paul Hornung kick),20,21
