,Quarter,Tm,Detail,CLE,CRD
0,1.0,Cardinals,Pat Summerall 41 yard field goal,0,3
1,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),7,3
2,2.0,Browns,Maurice Bassett 8 yard rush (Lou Groza kick),14,3
3,2.0,Browns,Dante Lavelli 26 yard pass from Otto Graham (Lou Groza kick),21,3
4,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),28,3
5,3.0,Browns,Maurice Bassett 7 yard rush (Lou Groza kick),35,3
