,Quarter,Tm,Detail,FRN,PRV
0,1,Steam Roller,Jimmy Conzelman 22 yard pass from Wildcat Wilson,0,6
1,4,Yellow Jackets,Ed Halicki 3 yard rush (Ed Halicki kick),7,6
