,Quarter,Tm,Detail,CHI,GNB
0,2.0,Packers,Chester Marcol 41 yard field goal,0,3
1,3.0,Packers,Terdell Middleton 2 yard rush (Chester Marcol kick),0,10
2,3.0,Packers,Steve Luke 63 yard interception return (Chester Marcol kick),0,17
3,4.0,Bears,James Scott 15 yard pass from Bob Avellini (Bob Thomas kick),7,17
4,4.0,Packers,James Lofton 58 yard pass from David Whitehurst (Chester Marcol kick),7,24
5,4.0,Bears,James Scott 17 yard pass from Bob Avellini (Bob Thomas kick),14,24
