,Quarter,Tm,Detail,NOR,BAL
0,1.0,Colts,Tom Mitchell 4 yard pass from Bert Jones (George Hunt kick),0,7
1,1.0,Colts,Don Nottingham 1 yard rush (George Hunt kick),0,14
2,2.0,Saints,Bob Newland 33 yard pass from Archie Manning (Happy Feller kick),7,14
3,4.0,Saints,Happy Feller 17 yard field goal,10,14
