,Quarter,Time,Tm,Detail,DEN,PIT
0,1.0,11:26,Broncos,Rod Smith 16 yard pass from Jake Plummer (Jason Elam kick),7,0
1,1.0,11:05,Broncos,Javon Walker 10 yard pass from Jake Plummer (Jason Elam kick),14,0
2,2.0,12:42,Steelers,Willie Parker 15 yard pass from Ben Roethlisberger (Jeff Reed kick),14,7
3,2.0,0:00,Steelers,Jeff Reed 46 yard field goal,14,10
4,3.0,13:58,Broncos,Javon Walker 72 yard rush (Jason Elam kick),21,10
5,3.0,3:32,Steelers,Willie Parker 3 yard rush (Jeff Reed kick),21,17
6,4.0,11:16,Broncos,Javon Walker 10 yard pass from Jake Plummer (Jason Elam kick),28,17
7,4.0,8:13,Steelers,Jeff Reed 29 yard field goal,28,20
8,4.0,4:48,Broncos,Jason Elam 32 yard field goal,31,20
