,Quarter,Tm,Detail,CLE,SDG
0,1.0,Browns,Steve Holden 6 yard pass from Brian Sipe (Don Cockroft kick),7,0
1,1.0,Browns,Greg Pruitt 3 yard rush (Don Cockroft kick),14,0
2,2.0,Chargers,Bo Matthews 1 yard rush (Dennis Partee kick),14,7
3,2.0,Browns,Brian Sipe 1 yard rush (Don Cockroft kick),21,7
4,3.0,Chargers,Don Woods 43 yard pass from Dan Fouts,21,13
5,3.0,Chargers,Glen Bonner 1 yard pass from Dan Fouts,21,19
6,4.0,Browns,Hugh McKinnis 6 yard rush (Don Cockroft kick),28,19
7,4.0,Chargers,Harrison Davis 70 yard pass from Dan Fouts (Dennis Partee kick),28,26
8,4.0,Browns,Brian Sipe 1 yard rush (Don Cockroft kick),35,26
9,4.0,Chargers,Don Woods 75 yard pass from Dan Fouts (Dennis Partee kick),35,33
10,4.0,Chargers,Ray Wersching 40 yard field goal,35,36
