,Quarter,Tm,Detail,MIA,IND
0,1.0,Colts,Raul Allegre 28 yard field goal,0,3
1,1.0,Colts,Robbie Martin 70 yard punt return (Raul Allegre kick),0,10
2,1.0,Dolphins,Fuad Reveiz 45 yard field goal,3,10
3,2.0,Dolphins,Lorenzo Hampton 4 yard rush (Fuad Reveiz kick),10,10
4,2.0,Colts,Raul Allegre 32 yard field goal,10,13
5,2.0,Dolphins,Fuad Reveiz 44 yard field goal,13,13
6,3.0,Dolphins,Ron Davenport 1 yard rush (Fuad Reveiz kick),20,13
7,3.0,Dolphins,Lorenzo Hampton 1 yard rush (Fuad Reveiz kick),27,13
8,3.0,Colts,Wayne Capers 80 yard pass from Mike Pagel (Raul Allegre kick),27,20
9,4.0,Dolphins,Ron Davenport 17 yard pass from Dan Marino (Fuad Reveiz kick),34,20
