,Quarter,Tm,Detail,SFO,DEN
0,1.0,49ers,Freddie Solomon 46 yard pass from Joe Montana (Ray Wersching kick),7,0
1,1.0,Broncos,Rick Upchurch 67 yard punt return (Rich Karlis kick),7,7
2,1.0,49ers,Jeff Moore 1 yard rush (Ray Wersching kick),14,7
3,2.0,Broncos,Rick Parros 4 yard pass from Steve DeBerg (Rich Karlis kick),14,14
4,2.0,49ers,Dwight Clark 24 yard pass from Joe Montana (Ray Wersching kick),21,14
5,4.0,Broncos,Rick Upchurch 37 yard pass from Steve DeBerg (Rich Karlis kick),21,21
6,4.0,Broncos,Rich Karlis 18 yard field goal,21,24
