,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,,Chiefs,Marcus Allen 1 yard rush (Pete Stoyanovich kick),7,0
1,1.0,,Seahawks,Joey Galloway 20 yard pass from Warren Moon (Todd Peterson kick),7,7
2,2.0,,Chiefs,Pete Stoyanovich 22 yard field goal,10,7
3,2.0,,Seahawks,Steve Broussard 22 yard rush (Todd Peterson kick),10,14
4,3.0,,Chiefs,Rich Gannon 1 yard rush (Pete Stoyanovich kick),17,14
5,4.0,,Chiefs,"Safety, Richardsons punt blocked by Horn and went out of end",19,14
