,Quarter,Time,Tm,Detail,IND,SEA
0,1.0,,Colts,Lamont Warren 4 yard rush (Mike Vanderjagt kick),7,0
1,1.0,,Seahawks,Joey Galloway 3 yard pass from Jon Kitna (Todd Peterson kick),7,7
2,2.0,,Seahawks,Todd Peterson 42 yard field goal,7,10
3,2.0,0:04,Colts,Mike Vanderjagt 32 yard field goal,10,10
4,3.0,0:04,Colts,Mike Vanderjagt 48 yard field goal,13,10
5,3.0,0:04,Colts,Marcus Pollard 1 yard pass from Peyton Manning (Mike Vanderjagt kick),20,10
6,4.0,0:04,Colts,Mike Vanderjagt 20 yard field goal,23,10
7,4.0,0:04,Seahawks,Ricky Watters 33 yard rush (Todd Peterson kick),23,17
8,4.0,0:04,Seahawks,Shawn Springs 14 yard defensive fumble return (Todd Peterson kick),23,24
9,4.0,2:00,Seahawks,Todd Peterson 30 yard field goal,23,27
