,Quarter,Tm,Detail,BUF,POT
0,1.0,Maroons,Dinty Moore 10 yard rush,0,6
1,1.0,Maroons,Dinty Moore 4 yard pass from Frank Kirkleski,0,12
2,2.0,Maroons,Barney Wentz 30 yard field goal,0,15
3,2.0,Maroons,Vivian Hultman 21 yard pass from Frank Kirkleski (Barney Wentz kick),0,22
