,Quarter,Tm,Detail,MIN,DAL
0,1.0,Vikings,Hassan Jones 26 yard pass from Wade Wilson (Chuck Nelson kick),7,0
1,1.0,Vikings,Henry Thomas 2 yard defensive fumble return (Chuck Nelson kick),14,0
2,1.0,Vikings,Chuck Nelson 39 yard field goal,17,0
3,2.0,Cowboys,Roger Ruzek 50 yard field goal,17,3
4,3.0,Vikings,Hassan Jones 64 yard pass from Wade Wilson (Chuck Nelson kick),24,3
5,3.0,Vikings,Chuck Nelson 27 yard field goal,27,3
6,3.0,Vikings,Steve Jordan 3 yard pass from Wade Wilson (Chuck Nelson kick),34,3
7,4.0,Vikings,D.J. Dozier 19 yard rush (Chuck Nelson kick),41,3
8,4.0,Vikings,"Safety, Baker tackled Sweeney in end zone",43,3
