,Quarter,Time,Tm,Detail,STL,CIN
0,1.0,9:18,Bengals,A.J. Green 10 yard pass from Andy Dalton (Mike Nugent kick),0,7
1,2.0,10:10,Bengals,Mike Nugent 21 yard field goal,0,10
2,2.0,8:29,Rams,Tavon Austin 5 yard rush (Zach Hocker kick),7,10
3,2.0,3:27,Bengals,Tyler Eifert 22 yard pass from Andy Dalton (Mike Nugent kick),7,17
4,3.0,7:01,Bengals,A.J. Green 18 yard pass from Andy Dalton (Mike Nugent kick),7,24
5,3.0,5:20,Bengals,Leon Hall 19 yard interception return (Mike Nugent kick),7,31
