,Quarter,Time,Tm,Detail,OAK,KAN
0,1.0,13:33,Chiefs,Eric Warfield 51 yard interception return (Todd Peterson kick),0,7
1,1.0,9:29,Raiders,Sebastian Janikowski 43 yard field goal,3,7
2,1.0,1:26,Raiders,Sebastian Janikowski 42 yard field goal,6,7
3,2.0,14:14,Chiefs,Tony Richardson 3 yard rush (Todd Peterson kick),6,14
4,3.0,5:50,Chiefs,Todd Peterson 31 yard field goal,6,17
5,3.0,1:53,Raiders,Tim Brown 33 yard pass from Rich Gannon (Rich Gannon run),14,17
6,4.0,9:35,Raiders,Sebastian Janikowski 36 yard field goal,17,17
7,4.0,3:19,Raiders,Jon Ritchie 15 yard pass from Rich Gannon (Sebastian Janikowski kick),24,17
8,4.0,1:21,Chiefs,Snoop Minnis 30 yard pass from Trent Green (Todd Peterson kick),24,24
9,4.0,0:15,Raiders,Sebastian Janikowski 31 yard field goal,27,24
