,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,0:27,Colts,Kenton Keith 3 yard rush (Adam Vinatieri kick),7,0
1,2.0,5:25,Colts,Peyton Manning 1 yard rush (Adam Vinatieri kick),14,0
2,2.0,0:29,Colts,Adam Vinatieri 36 yard field goal,17,0
3,3.0,9:23,Jaguars,Maurice Jones-Drew 1 yard rush (John Carney kick),17,7
4,3.0,4:35,Colts,"Safety,",19,7
5,4.0,13:34,Colts,Adam Vinatieri 20 yard field goal,22,7
6,4.0,3:58,Colts,Dallas Clark 35 yard pass from Peyton Manning (Adam Vinatieri kick),29,7
