,Quarter,Tm,Detail,NOR,GNB
0,2.0,Packers,Al Del Greco 27 yard field goal,0,3
1,2.0,Packers,Blake Moore 3 yard pass from Lynn Dickey (Al Del Greco kick),0,10
2,2.0,Packers,Phil Epps 11 yard pass from Lynn Dickey (Al Del Greco kick),0,17
3,3.0,Packers,Gerry Ellis 15 yard rush (Al Del Greco kick),0,24
4,3.0,Saints,Terry Hoage 52 yard interception return (Morten Andersen kick),7,24
5,4.0,Packers,Gary Ellerson 1 yard rush (Al Del Greco kick),7,31
6,4.0,Saints,Bobby Hebert 7 yard pass from Guido Merkens (Morten Andersen kick),14,31
7,4.0,Packers,Preston Dennard 8 yard pass from Jim Zorn (Al Del Greco kick),14,38
