,Quarter,Tm,Detail,NOR,RAM
0,1.0,Saints,Derek Brown 15 yard pass from Wade Wilson (Morten Andersen kick),7,0
1,1.0,Saints,Morten Andersen 48 yard field goal,10,0
2,1.0,Rams,Tony Zendejas 53 yard field goal,10,3
3,2.0,Saints,Morten Andersen 25 yard field goal,13,3
4,3.0,Rams,Tony Zendejas 37 yard field goal,13,6
5,3.0,Saints,Morten Andersen 43 yard field goal,16,6
6,4.0,Saints,Pat Newman 30 yard pass from Wade Wilson (Morten Andersen kick),23,6
7,4.0,Saints,Tyrone Hughes 74 yard punt return (Morten Andersen kick),30,6
8,4.0,Saints,Derrick Ned 35 yard rush (Morten Andersen kick),37,6
