,Quarter,Time,Tm,Detail,SDG,TAM
0,1.0,13:57,Chargers,Danario Alexander 80 yard pass from Philip Rivers (Nick Novak kick),7,0
1,1.0,8:57,Buccaneers,Dallas Clark 3 yard pass from Josh Freeman (Connor Barth kick),7,7
2,1.0,4:19,Chargers,Antonio Gates 13 yard pass from Philip Rivers (Nick Novak kick),14,7
3,2.0,12:52,Buccaneers,Connor Barth 40 yard field goal,14,10
4,2.0,8:55,Buccaneers,Adam Hayward 29 yard blocked punt return (Connor Barth kick),14,17
5,2.0,0:27,Chargers,Malcom Floyd 3 yard pass from Philip Rivers (Nick Novak kick),21,17
6,3.0,4:07,Buccaneers,Tiquan Underwood 15 yard pass from Josh Freeman (Connor Barth kick),21,24
7,4.0,13:22,Buccaneers,Leonard Johnson 83 yard interception return (Connor Barth kick),21,31
8,4.0,7:02,Chargers,Nick Novak 34 yard field goal,24,31
9,4.0,1:07,Buccaneers,Connor Barth 45 yard field goal,24,34
