,Quarter,Tm,Detail,CIN,BUF
0,1.0,Bengals,Horst Muhlmann 35 yard field goal,3,0
1,1.0,Bills,John Leypoldt 21 yard field goal,3,3
2,1.0,Bengals,Horst Muhlmann 36 yard field goal,6,3
3,2.0,Bengals,Boobie Clark 1 yard rush (Horst Muhlmann kick),13,3
4,2.0,Bills,John Leypoldt 39 yard field goal,13,6
5,3.0,Bills,O.J. Simpson 32 yard rush (John Leypoldt kick),13,13
6,4.0,Bengals,Horst Muhlmann 33 yard field goal,16,13
