,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles/Steelers,Bob Thurbon 6 yard rush (Roy Zimmerman kick),7,0
1,3.0,Eagles/Steelers,Bob Thurbon 5 yard rush (Roy Zimmerman kick),14,0
2,3.0,Redskins,Bob Masterson 4 yard pass from Sammy Baugh (Bob Masterson kick),14,7
3,4.0,Eagles/Steelers,Ernie Steele 47 yard rush,20,7
4,4.0,Eagles/Steelers,Jack Hinkle 1 yard rush (Roy Zimmerman kick),27,7
5,4.0,Redskins,Joe Aguirre 12 yard pass from Sammy Baugh (Joe Aguirre kick),27,14
