,Quarter,Time,Tm,Detail,GNB,KAN
0,1.0,8:56,Chiefs,Ryan Succop 19 yard field goal,0,3
1,1.0,0:11,Chiefs,Ryan Succop 32 yard field goal,0,6
2,3.0,8:04,Packers,Donald Driver 2 yard pass from Aaron Rodgers (Mason Crosby kick),7,6
3,3.0,3:45,Chiefs,Ryan Succop 46 yard field goal,7,9
4,4.0,11:28,Chiefs,Ryan Succop 20 yard field goal,7,12
5,4.0,4:53,Chiefs,Jackie Battle 1 yard rush (Ryan Succop kick),7,19
6,4.0,2:04,Packers,Aaron Rodgers 8 yard rush (Mason Crosby kick),14,19
