,Quarter,Tm,Detail,CLE,DAL
0,1.0,Cowboys,Golden Richards 35 yard pass from Roger Staubach (Efren Herrera kick),0,7
1,1.0,Cowboys,Golden Richards 41 yard pass from Roger Staubach (Efren Herrera kick),0,14
2,2.0,Browns,Steve Holden 4 yard pass from Mike Phipps (Don Cockroft kick),7,14
3,2.0,Cowboys,Efren Herrera 39 yard field goal,7,17
4,2.0,Browns,Don Cockroft 28 yard field goal,10,17
5,2.0,Cowboys,Efren Herrera 19 yard field goal,10,20
6,3.0,Browns,Ken Brown 12 yard rush (Don Cockroft kick),17,20
7,3.0,Cowboys,Walt Garrison 3 yard rush (Efren Herrera kick),17,27
8,3.0,Cowboys,Billy Joe DuPree 42 yard pass from Roger Staubach (Efren Herrera kick),17,34
9,3.0,Cowboys,Walt Garrison 1 yard rush (Efren Herrera kick),17,41
