,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Chip Lohmiller 26 yard field goal,3,0
1,1.0,Redskins,Chip Lohmiller 25 yard field goal,6,0
2,2.0,Redskins,Ricky Sanders 29 yard pass from Doug Williams (Chip Lohmiller kick),13,0
3,2.0,Giants,Raul Allegre 23 yard field goal,13,3
4,3.0,Giants,Joe Morris 9 yard rush (Raul Allegre kick),13,10
5,3.0,Giants,Raul Allegre 32 yard field goal,13,13
6,4.0,Giants,Tom Flynn 27 yard blocked punt return (Raul Allegre kick),13,20
7,4.0,Giants,Jim Burt 39 yard defensive fumble return (Raul Allegre kick),13,27
8,4.0,Redskins,Kelvin Bryant 19 yard pass from Doug Williams (Chip Lohmiller kick),20,27
