,Quarter,Time,Tm,Detail,NOR,JAX
0,1.0,7:59,Saints,Jed Collins 1 yard rush (John Kasay kick),7,0
1,2.0,12:37,Saints,Jimmy Graham 1 yard pass from Drew Brees (John Kasay kick),14,0
2,2.0,7:29,Jaguars,Zach Miller 14 yard pass from Blaine Gabbert (Josh Scobee kick),14,7
3,2.0,0:34,Jaguars,Josh Scobee 31 yard field goal,14,10
4,3.0,10:45,Saints,John Kasay 38 yard field goal,17,10
5,3.0,4:11,Saints,John Kasay 39 yard field goal,20,10
6,4.0,12:46,Saints,John Kasay 21 yard field goal,23,10
