,Quarter,Tm,Detail,PRT,NYG
0,1.0,Spartans,Glenn Presnell 20 yard field goal,3,0
1,2.0,Spartans,Glenn Presnell 81 yard rush (Glenn Presnell kick),10,0
2,4.0,Giants,Ken Strong 12 yard pass from Harry Newman,10,6
3,4.0,Giants,Ken Strong 2 yard rush (Ken Strong kick),10,13
