,Quarter,Tm,Detail,DET,TAM
0,1.0,Buccaneers,Reggie Cobb 1 yard rush (Steve Christie kick),0,7
1,1.0,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),7,7
2,2.0,Buccaneers,Reggie Cobb 3 yard rush (Steve Christie kick),7,14
3,2.0,Buccaneers,Steve Christie 29 yard field goal,7,17
4,2.0,Buccaneers,Steve Christie 33 yard field goal,7,20
5,2.0,Buccaneers,Steve Christie 30 yard field goal,7,23
6,3.0,Lions,Barry Sanders 5 yard rush (Eddie Murray kick),14,23
7,3.0,Buccaneers,Reggie Cobb 59 yard rush (Steve Christie kick),14,30
8,4.0,Lions,Erik Kramer 1 yard rush (Eddie Murray kick),21,30
