,Quarter,Tm,Detail,STL,TAM
0,1.0,Buccaneers,Calvin Magee 15 yard pass from Steve DeBerg (Donald Igwebuike kick),0,7
1,2.0,Cardinals,John Lee 38 yard field goal,3,7
2,2.0,Cardinals,Stump Mitchell 3 yard rush,9,7
3,3.0,Cardinals,Earl Ferrell 30 yard pass from Neil Lomax (John Lee kick),16,7
4,4.0,Cardinals,Chas Fox 38 yard pass from Neil Lomax (John Lee kick),23,7
5,4.0,Buccaneers,Donald Igwebuike 23 yard field goal,23,10
6,4.0,Buccaneers,Phil Freeman 30 yard pass from Steve Young,23,16
7,4.0,Buccaneers,Donald Igwebuike 46 yard field goal,23,19
8,4.0,Cardinals,Stump Mitchell 31 yard rush (John Lee kick),30,19
