,Quarter,Time,Tm,Detail,DEN,SDG
0,1.0,14:43,Chargers,Ronney Jenkins 88 yard kickoff return (Wade Richey kick),0,7
1,2.0,6:35,Chargers,Wade Richey 21 yard field goal,0,10
2,2.0,2:20,Chargers,Wade Richey 51 yard field goal,0,13
3,2.0,0:41,Broncos,Desmond Clark 6 yard pass from Brian Griese (Jason Elam kick),7,13
4,3.0,8:49,Broncos,Jason Elam 45 yard field goal,10,13
5,3.0,2:17,Chargers,Jeff Graham 17 yard pass from Doug Flutie (Wade Richey kick),10,20
6,4.0,8:36,Chargers,Jeff Graham 20 yard pass from Doug Flutie (Wade Richey kick),10,27
