,Quarter,Time,Tm,Detail,NYJ,NWE
0,1.0,,Patriots,Ben Coates 2 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,2.0,,Patriots,Adam Vinatieri 19 yard field goal,0,10
2,2.0,,Jets,Nick Lowery 27 yard field goal,3,10
3,2.0,,Patriots,Curtis Martin 19 yard rush (Adam Vinatieri kick),3,17
4,2.0,,Patriots,Adam Vinatieri 41 yard field goal,3,20
5,3.0,,Jets,Keyshawn Johnson 4 yard pass from Glenn Foley (Nick Lowery kick),10,20
6,3.0,,Patriots,Ty Law 38 yard interception return (Adam Vinatieri kick),10,27
7,4.0,,Patriots,Marrio Grier 1 yard rush (Adam Vinatieri kick),10,34
