,Quarter,Tm,Detail,BAL,DAL
0,1.0,Colts,Raymond Berry 68 yard pass from Johnny Unitas (Steve Myhra kick),7,0
1,2.0,Colts,Raymond Berry 52 yard pass from Johnny Unitas (Steve Myhra kick),14,0
2,2.0,Colts,Steve Myhra 26 yard field goal,17,0
3,2.0,Colts,Raymond Berry 70 yard pass from Johnny Unitas (Steve Myhra kick),24,0
4,2.0,Colts,Lenny Moore 20 yard pass from Johnny Unitas (Steve Myhra kick),31,0
5,3.0,Colts,Billy Pricer 2 yard rush (Steve Myhra kick),38,0
6,3.0,Cowboys,Billy Howton 5 yard pass from Don Heinrich (Fred Cone kick),38,7
7,4.0,Colts,Jerry Richardson 7 yard pass from Ray Brown (Steve Myhra kick),45,7
