,Quarter,Tm,Detail,SEA,DEN
0,2.0,Broncos,Gerald Willhite 15 yard rush (Rich Karlis kick),0,7
1,3.0,Seahawks,Bruce Scholtz 31 yard interception return (Norm Johnson kick),7,7
2,3.0,Broncos,Rich Karlis 21 yard field goal,7,10
3,4.0,Seahawks,Norm Johnson 25 yard field goal,10,10
4,4.0,Seahawks,Steve Largent 34 yard pass from Jim Zorn (Norm Johnson kick),17,10
