,Quarter,Tm,Detail,MIA,CHI
0,1.0,Bears,Neal Anderson 2 yard rush (Kevin Butler kick),0,7
1,1.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),0,14
2,1.0,Dolphins,Mark Clayton 28 yard pass from Dan Marino (Fuad Reveiz kick),7,14
3,2.0,Bears,Jim McMahon 1 yard rush (Kevin Butler kick),7,21
4,2.0,Bears,Jim McMahon 2 yard rush (Kevin Butler kick),7,28
5,4.0,Bears,Thomas Sanders 20 yard rush,7,34
