,Quarter,Tm,Detail,SIS,NYG
0,2.0,Stapletons,Doug Wycoff unknown yard rush (Ken Strong kick),7,0
1,2.0,Giants,Chris Cagle 70 yard punt return (Bo Molenda kick),7,7
2,2.0,Giants,Potsy Jones 22 yard fumble return (Bo Molenda kick),7,14
3,3.0,Giants,Chris Cagle 25 yard pass from Jack McBride (Bo Molenda kick),7,21
4,4.0,Giants,Dale Burnett 26 yard pass from Jack McBride,7,27
