,Quarter,Tm,Detail,DEN,CIN
0,1.0,Bengals,Pete Johnson 39 yard rush (Jim Breech kick),0,7
1,1.0,Bengals,Pete Johnson 2 yard pass from Ken Anderson (Jim Breech kick),0,14
2,2.0,Broncos,Rob Lytle 5 yard rush (Fred Steinfort kick),7,14
3,2.0,Bengals,Ken Anderson 2 yard rush (Jim Breech kick),7,21
4,2.0,Bengals,Cris Collinsworth 7 yard pass from Ken Anderson (Jim Breech kick),7,28
5,4.0,Bengals,Jim Breech 38 yard field goal,7,31
6,4.0,Broncos,Steve Watson 14 yard pass from Steve DeBerg (Fred Steinfort kick),14,31
7,4.0,Bengals,Charles Alexander 65 yard pass from Ken Anderson (Jim Breech kick),14,38
8,4.0,Broncos,Rob Lytle 14 yard pass from Steve DeBerg (Fred Steinfort kick),21,38
