,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,Morris Stroud 50 yard pass from Len Dawson (Jan Stenerud kick),0,7
1,1.0,Chargers,Dickie Post 1 yard rush (Mike Mercer kick),7,7
2,1.0,Chiefs,Jan Stenerud 43 yard field goal,7,10
3,2.0,Chiefs,Jan Stenerud 39 yard field goal,7,13
4,3.0,Chiefs,Wendell Hayes 1 yard rush (Jan Stenerud kick),7,20
5,4.0,Chiefs,Jan Stenerud 17 yard field goal,7,23
6,4.0,Chargers,Gary Garrison 28 yard pass from John Hadl (Mike Mercer kick),14,23
7,4.0,Chiefs,Jan Stenerud 26 yard field goal,14,26
