,Quarter,Tm,Detail,RAM,GNB
0,1.0,Packers,Paul Hornung 30 yard pass from Bart Starr (Jerry Kramer kick),0,7
1,1.0,Rams,Danny Villanueva 13 yard field goal,3,7
2,1.0,Packers,Jerry Kramer 35 yard field goal,3,10
3,2.0,Packers,Jim Taylor 1 yard rush (Jerry Kramer kick),3,17
4,2.0,Packers,Ron Kramer 4 yard pass from Bart Starr (Jerry Kramer kick),3,24
5,3.0,Packers,Jerry Kramer 37 yard field goal,3,27
6,4.0,Packers,Jim Taylor 2 yard rush (Jerry Kramer kick),3,34
7,4.0,Rams,Dick Bass 5 yard rush (Danny Villanueva kick),10,34
8,4.0,Packers,Earl Gros 15 yard rush (Jerry Kramer kick),10,41
