,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,Steve Watson 48 yard pass from John Elway (Rich Karlis kick),7,0
1,2.0,Broncos,Rich Karlis 22 yard field goal,10,0
2,2.0,Chiefs,Carlos Carson 24 yard pass from Bill Kenney (Nick Lowery kick),10,7
3,3.0,Broncos,Rich Karlis 37 yard field goal,13,7
4,4.0,Chiefs,Nick Lowery 46 yard field goal,13,10
5,4.0,Chiefs,Nick Lowery 28 yard field goal,13,13
6,4.0,Chiefs,Nick Lowery 42 yard field goal,13,16
