,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,Gary Anderson 25 yard field goal,3,0
1,2.0,Steelers,Gary Anderson 35 yard field goal,6,0
2,2.0,Oilers,Drew Hill 52 yard pass from Warren Moon (Tony Zendejas kick),6,7
3,2.0,Oilers,Tony Zendejas 34 yard field goal,6,10
4,3.0,Steelers,Mark Malone 1 yard rush (Gary Anderson kick),13,10
5,3.0,Oilers,Allen Pinkett 5 yard rush (Tony Zendejas kick),13,17
6,4.0,Steelers,Gary Anderson 20 yard field goal,16,17
7,4.0,Oilers,Drew Hill 30 yard pass from Warren Moon (Tony Zendejas kick),16,24
