,Quarter,Tm,Detail,WAS,CRD
0,1.0,Cardinals,John David Crow 83 yard rush (Bobby Joe Conrad kick),0,7
1,2.0,Cardinals,John David Crow 2 yard rush (Bobby Joe Conrad kick),0,14
2,2.0,Cardinals,Bobby Joe Conrad 18 yard field goal,0,17
3,3.0,Redskins,Sam Baker 34 yard field goal,3,17
4,3.0,Cardinals,Jimmy Sears 18 yard pass from M.C. Reynolds (Bobby Joe Conrad kick),3,24
5,4.0,Cardinals,Max Boydston 6 yard pass from M.C. Reynolds,3,30
6,4.0,Redskins,John Carson 20 yard pass from Rudy Bukich (Sam Baker kick),10,30
7,4.0,Cardinals,Ollie Matson 51 yard pass from Lamar McHan (Bobby Joe Conrad kick),10,37
