,Quarter,Time,Tm,Detail,JAX,HOU
0,1.0,8:21,Texans,Matt Schaub 2 yard rush (Neil Rackers kick),0,7
1,2.0,5:41,Jaguars,Jason Hill 5 yard pass from Blaine Gabbert (Josh Scobee kick),7,7
2,3.0,9:10,Texans,Joel Dreessen 7 yard pass from Matt Schaub (Neil Rackers kick),7,14
3,4.0,12:32,Texans,Arian Foster 4 yard rush (Neil Rackers kick),7,21
4,4.0,5:15,Jaguars,Maurice Jones-Drew 2 yard rush (Josh Scobee kick),14,21
5,4.0,0:18,Texans,Neil Rackers 39 yard field goal,14,24
